Time (s),RMS
1053.0,0.0142262215
1054.0,0.020759782
1055.0,0.022389852
1056.0,0.038913656
1057.0,0.08627397
1058.0,0.050133012
1059.0,0.03078404
1060.0,0.021493006
1061.0,0.02755114
1062.0,0.050977055
1063.0,0.04801707
1064.0,0.039899882
1065.0,0.033902787
1066.0,0.043264206
1067.0,0.028545247
1068.0,0.030681783
1069.0,0.010946788
1070.0,0.037826814
1071.0,0.107461035
1072.0,0.015577283
1073.0,0.007988959
1074.0,0.007888009
1075.0,0.009035276
1076.0,0.040392425
1077.0,0.04424795
1078.0,0.06891214
1079.0,0.019427784
1080.0,0.01815316
1081.0,0.012888955
1082.0,0.04422131
1083.0,0.015302693
1084.0,0.017195974
1085.0,0.010635855
1086.0,0.019768244
1087.0,0.013202148
1088.0,0.0074695703
1089.0,0.014388915
1090.0,0.013380525
1091.0,0.0140792765
1092.0,0.013954351
1093.0,0.012115698
1094.0,0.008414326
1095.0,0.009270949
1096.0,0.009043149
1097.0,0.009142372
1098.0,0.06682218
1099.0,0.06535747
1100.0,0.035395667
1101.0,0.03284748
1102.0,0.03794747
1103.0,0.014135504
1104.0,0.029662494
1105.0,0.01886971
1106.0,0.071945384
1107.0,0.027677907
1108.0,0.020340782
1109.0,0.027231107
1110.0,0.09315251
1111.0,0.022890761
1112.0,0.056220457
1113.0,0.08621265
1114.0,0.012191803
1115.0,0.060910866
1116.0,0.034759246
1117.0,0.06381071
1118.0,0.026412163
1119.0,0.07813233
1120.0,0.050358076
1121.0,0.055717766
1122.0,0.05227033
1123.0,0.06373374
1124.0,0.048897386
1125.0,0.015155481
1126.0,0.038016368
1127.0,0.016694734
1128.0,0.058100373
1129.0,0.09748672
1130.0,0.082481615
1131.0,0.054369483
1132.0,0.083341435
1133.0,0.060072903
1134.0,0.027744181
1135.0,0.015266846
1136.0,0.017792707
1137.0,0.029141422
1138.0,0.010265203
1139.0,0.009215383
1140.0,0.014419299
1141.0,0.013127735
1142.0,0.07167405
1143.0,0.015980989
1144.0,0.07719923
1145.0,0.046204846
1146.0,0.019389622
1147.0,0.06959733
1148.0,0.051757444
1149.0,0.03784888
1150.0,0.05503375
1151.0,0.031841174
1152.0,0.06671063
1153.0,0.022233123
1154.0,0.024204468
1155.0,0.09182518
1156.0,0.065426506
1157.0,0.049601816
1158.0,0.041890103
1159.0,0.02987925
1160.0,0.023651408
1161.0,0.023239508
1162.0,0.019923776
1163.0,0.026496142
1164.0,0.023408595
1165.0,0.025537627
1166.0,0.019058624
1167.0,0.022221344
1168.0,0.064733304
1169.0,0.09901104
1170.0,0.09471251
1171.0,0.028561333
1172.0,0.055237673
1173.0,0.055895433
1174.0,0.040909182
1175.0,0.02571495
1176.0,0.044938814
1177.0,0.02327407
1178.0,0.08626702
1179.0,0.05691315
1180.0,0.031768367
1181.0,0.09485078
1182.0,0.075547576
1183.0,0.10010937
1184.0,0.059796266
1185.0,0.040837012
1186.0,0.036287807
1187.0,0.05233156
1188.0,0.08080468
1189.0,0.13517413
1190.0,0.093063936
1191.0,0.028995017
